DceKey,PassKey,FishObservationKey,SpeciesName,FishForkLength,FishWeight,FishLifeStage,FishOrigin,FishReleaseTime,FishRun,FishStatus,FishCount,FishNotes,MortalityTiming,GroupSizeClass,AntennaID,PITTagID,PITTagCaptureType,PITTagType,PITTagVialCode,Tag2Identifier,Tag2RecaptureType,Tag2SubType,Tag2Type,DNAFinClipIdentifier,ScaleSampleIdentifier,IsotopeID,DietID,InjuryCode1,InjuryCode2,InjuryCode3,PhotoID,CreatedBy,CreatedDate,LastUpdatedBy,LastUpdatedDate,FishSex,ReleaseLocation,LatitudeDD,LongitudeDD,PositionAccuracy,TagStatus,HabitatType,HabitatFeature,HabitatUnit
3,1,1,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:14,Chelsea Welke,11/21/2019 8:14,,,45.387268,-114.0517167,8.7,Test Tag,N/A,N/A,N/A
3,1,2,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:14,Chelsea Welke,11/21/2019 8:14,,,45.387345,-114.0518433,5.45,Test Tag,Nest in tree,Other,10
3,1,3,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:24,Chelsea Welke,11/21/2019 8:24,,,45.387408,-114.0516517,4.38,Test Tag,N/A,N/A,N/A
3,1,4,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:26,Chelsea Welke,11/21/2019 8:26,,,45.38773,-114.0510167,4.29,Test Tag,N/A,N/A,N/A
3,1,5,,0,0,,,0001-01-01 00:00:00,,Live,1,Tag found under group of trees.... No nest,,,1,3D9.1C2D370726,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:37,Chelsea Welke,11/21/2019 8:37,,,45.387798,-114.05051,3,Shed Tag,Other,Other,11
3,1,6,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 8:49,Chelsea Welke,11/21/2019 8:49,,,45.38763,-114.0511167,2.85,Test Tag,N/A,N/A,N/A
3,1,7,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/21/2019 9:00,Chelsea Welke,11/21/2019 9:00,,,45.387368,-114.0522083,2.6,Test Tag,N/A,N/A,N/A
