"","Day","Temperature.C","Weight.g","Consumption.g"
"1",1,20.15543982,1210.65003508042,9.67051696957504
"2",2,20.00229167,1216.31153820191,9.68981663559798
"3",3,19.79703704,1222.24043403809,9.70269213410384
"4",4,19.96972222,1227.9958161934,9.7606716439866
"5",5,19.745,1234.04114101833,9.77103349270776
"6",6,19.45840278,1240.43167037005,9.77069574749863
"7",7,18.73506944,1247.54421798229,9.68279539239003
"8",8,18.07597222,1255.17169166297,9.56182692839687
"9",9,16.6255787,1263.23723808866,9.00247407898304
"10",10,15.40092593,1270.77651805573,8.16308991791871
"11",11,15.3881713,1278.34534663066,8.19075240860254
"12",12,15.58206019,1286.11210396845,8.39955238853963
"13",13,15.83023148,1294.08771486924,8.64307812460513
"14",14,16.31564815,1302.32030533662,9.03509680005024
"15",15,16.63780093,1310.66167054952,9.28011067199829
"16",16,16.12988426,1318.92506204944,9.00051680208297
"17",17,15.34256944,1326.71038052112,8.39652071901704
"18",18,14.39518519,1333.35287279366,7.41231676564831
"19",19,13.87574074,1339.14216085,6.77817986752157
"20",20,12.93453704,1343.06680688332,5.48051622958104
"21",21,12.76486111,1346.64136559462,5.24824813604121
"22",22,13.82930556,1352.3972641254,6.76972197963354
"23",23,15.04134259,1360.04266586619,8.2649625914909
"24",24,15.71918981,1368.35760408755,8.94727860264453
"25",25,15.26782407,1376.33166627674,8.57515763742774
"26",26,13.909375,1382.35497028793,6.99899046857494
"27",27,13.91513889,1388.41320981122,7.03144936420542
"28",28,12.90354167,1392.40818422977,5.59586892979018
"29",29,9.457893519,1390.53527011097,1.53697260837577
"30",30,8.330694444,1387.94833672072,0.894278858594722
"31",31,8.713680556,1385.54877347384,1.07705071431426
"32",32,9.295949074,1383.54468894051,1.41974297845686
"33",33,9.07400463,1381.3753787033,1.27716986745617
"34",34,9.180740741,1379.28553840978,1.34166652834053
"35",35,8.896759259,1377.00298578526,1.17061631304435
"36",36,8.801180556,1374.66509190978,1.11649707825032
"37",37,11.05116667,1374.86059326807,3.01424981563272
"38",38,10.19233333,1373.7811571313,2.11537433311421
"39",39,9.552958333,1372.00804770551,1.58855980180531
"40",40,8.897708333,1369.73363434436,1.16618516270612
"41",41,8.513291667,1367.25225894573,0.966534386444599
"42",42,8.1695,1364.63257508102,0.814509199073637
"43",43,8.169541667,1362.01622559488,0.813272633846377
"44",44,6.574,1359.16323217539,0.36004895392494
"45",45,6.126333333,1356.33041215375,0.284618326953187
"46",46,6.415125,1353.4884048784,0.330377901342321
"47",47,7.035875,1350.66184231313,0.454891788166247
"48",48,7.521791667,1347.89705894925,0.582296956547491
"49",49,8.066083333,1345.2675180892,0.764803009459173
"50",50,8.071833333,1342.64321343461,0.765799296776829
"51",51,8.03725,1340.0115001187,0.751507946931045
"52",52,8.213,1337.4418436268,0.818957809151297
"53",53,8.169958333,1334.86022744069,0.800400287309832
"54",54,9.293458333,1332.89799485463,1.3762773194842
"55",55,9.929416667,1331.52776080302,1.83829008298358
"56",56,9.722208333,1329.94429544703,1.67357784218893
"57",57,10.66766667,1329.51756439286,2.51761914440265
"58",58,9.660583333,1327.87597605683,1.62540424736772
"59",59,9.1,1325.77839490213,1.25107847793121
"60",60,7.849583333,1323.11672788154,0.677108684994896
"61",61,6.326208333,1320.32627820931,0.309197688193494
"62",62,5.969666667,1317.5612855638,0.25616430456605
"63",63,6.626083333,1314.77300945624,0.360191724633099
"64",64,6.9785,1311.99868632734,0.431474059538936
"65",65,7.215791667,1309.24706850239,0.486610150574578
"66",66,7.175958333,1306.49553078815,0.475969340326647
"67",67,6.200291667,1303.73543091136,0.286599554952525
"68",68,5.421541667,1301.05096267327,0.190064695763342
"69",69,4.762041667,1298.46471250811,0.133862071162217
"70",70,3.278583333,1296.14889288889,0.0606591565954083
"71",71,3.067583333,1293.87658909743,0.0541143809331916
"72",72,1.974125,1291.81770453597,0.0301004569943045
"73",73,0.86475,1289.96726760873,0.0165859047233799
"74",74,0.55,1288.17480999303,0.0139929344742691
"75",75,0.667208333,1286.36340110399,0.014884463433578
"76",76,1.954625,1284.3167431715,0.0296486850155382
"77",77,2.6665,1282.13625571239,0.0433480012886002
"78",78,2.379416667,1280.01346839687,0.0371238565776684
"79",79,1.746333333,1278.01325362116,0.0264126479259876
"80",80,0.743958333,1276.19846651593,0.0154117722007094
"81",81,0.282208333,1274.46610561206,0.0120160873552278
"82",82,0.12525,1272.76219037233,0.0110333775667502
"83",83,0.570625,1270.9832219447,0.013996901978068
"84",84,1.768916667,1268.98885645372,0.0265826695080507
"85",85,2.737458333,1266.81338743923,0.0445930933632164
"86",86,2.042916667,1264.77233983459,0.03070469744362
"87",87,0.546416667,1263.00556002065,0.0137465934869494
"88",88,0.70075,1261.213598113,0.0149164864387914
"89",89,1.571375,1259.26673073163,0.0237645629908303
"90",90,2.543333333,1257.13994218304,0.0399464873015296
"91",91,1.55825,1255.19997192742,0.0235367419852443
