Model,Scenario,Date Range,Initial.weight.g,Final.weight.g,Total.consumption.g,Possible.smolts.consumed,Pikeminnow.est,Overall.possible.consumption
1,temp fixed 4°C,Sept 1 - Nov 30,1255.2,1255.2,118.3,8.6,13298,114362.8
2,temp empirical,Sept 1 - Nov 30,1255.2,1255.2,250.7,18.16666667,13298,241580.3333
