"","Day","Temperature.C","Weight.g","Consumption.g"
"1",1,20.15543982,1258.94657370567,9.00852299882
"2",2,20.00229167,1262.90040535371,9.01540751793235
"3",3,19.79703704,1267.11972203747,9.01630382728291
"4",4,19.96972222,1271.14282315718,9.05906512424544
"5",5,19.745,1275.45432919545,9.05756287014936
"6",6,19.45840278,1280.1122619813,9.04616713401787
"7",7,18.73506944,1285.51817851822,8.95385057801089
"8",8,18.07597222,1291.46539149161,8.83132073970904
"9",9,16.6255787,1297.95912786997,8.30482758495134
"10",10,15.40092593,1304.06991335613,7.52209266904403
"11",11,15.3881713,1310.19835119235,7.53998950518601
"12",12,15.58206019,1316.48080115108,7.7244432254375
"13",13,15.83023148,1322.92115972239,7.94027057947067
"14",14,16.31564815,1329.53906612596,8.29173878919001
"15",15,16.63780093,1336.21169772432,8.50735647274583
"16",16,16.12988426,1342.85069849531,8.24191687665768
"17",17,15.34256944,1349.11397412008,7.68062862470301
"18",18,14.39518519,1354.40374300602,6.7736334559903
"19",19,13.87574074,1358.94793036978,6.18876264369513
"20",20,12.93453704,1361.85443303951,4.99999299558788
"21",21,12.76486111,1364.4499374908,4.78505364044208
"22",22,13.82930556,1368.9511498991,6.16851133444211
"23",23,15.04134259,1375.06505869088,7.5250877730668
"24",24,15.71918981,1381.71512168293,8.13860060951293
"25",25,15.26782407,1388.08608356903,7.79215858130207
"26",26,13.909375,1392.79215902519,6.35373376792756
"27",27,13.91513889,1397.52269474161,6.37816770836913
"28",28,12.90354167,1400.45365769206,5.07196271800841
"29",29,9.457893519,1398.27560385786,1.39220524919115
"30",30,8.330694444,1395.50533370395,0.809909897209995
"31",31,8.713680556,1392.88801736003,0.975343694065147
"32",32,9.295949074,1390.60161164084,1.28552347786524
"33",33,9.07400463,1388.17724402102,1.15624752055382
"34",34,9.180740741,1385.82041407973,1.21446623677924
"35",35,8.896759259,1383.30359451229,1.05947531015809
"36",36,8.801180556,1380.74198718654,1.0103632247951
"37",37,11.05116667,1380.35476542164,2.72737832310951
"38",38,10.19233333,1378.86284702491,1.91340085299929
"39",39,9.552958333,1376.77759938874,1.43654449963982
"40",40,8.897708333,1374.27182648468,1.05440056944338
"41",41,8.513291667,1371.59750504824,0.873773220752833
"42",42,8.1695,1368.81422263319,0.7362587175354
"43",43,8.169541667,1366.0347324974,0.735073993459906
"44",44,6.574,1363.10603404638,0.325399478815933
"45",45,6.126333333,1360.21225139448,0.257217756841379
"46",46,6.415125,1357.30048415957,0.298562701938953
"47",47,7.035875,1354.38018439209,0.411070986860869
"48",48,7.521791667,1351.49725282604,0.526176155159284
"49",49,8.066083333,1348.714657306,0.691047196706816
"50",50,8.071833333,1345.9373171793,0.691887249381194
"51",51,8.03725,1343.15552450336,0.678915984150281
"52",52,8.213,1340.42303686079,0.739787001672694
"53",53,8.169958333,1337.68237613721,0.722955574593232
"54",54,9.293458333,1335.45077301194,1.24299781997863
"55",55,9.929416667,1333.72281975209,1.66000427078764
"56",56,9.722208333,1331.81352088958,1.51094355794226
"57",57,10.66766667,1330.89899494834,2.27252008346804
"58",58,9.660583333,1328.94152732245,1.46673430754983
"59",59,9.1,1326.6005428737,1.12873548384803
"60",60,7.849583333,1323.8066101518,0.610804842442643
"61",61,6.326208333,1320.95526022765,0.27889833283778
"62",62,5.969666667,1318.13973276507,0.231053525258909
"63",63,6.626083333,1315.28084855639,0.324873805819761
"64",64,6.9785,1312.42222575369,0.389150201771072
"65",65,7.215791667,1309.57576440289,0.438855573557106
"66",66,7.175958333,1306.73158382196,0.429234294582327
"67",67,6.200291667,1303.91564057798,0.258443972338586
"68",68,5.421541667,1301.19410960948,0.171386870566042
"69",69,4.762041667,1298.5817395959,0.120704594277603
"70",70,3.278583333,1296.25402679283,0.0546960154817599
"71",71,3.067583333,1293.9711143641,0.048794275415337
"72",72,1.974125,1291.90629463209,0.0271410383376125
"73",73,0.86475,1290.05255584267,0.0149551569090409
"74",74,0.55,1288.25730437594,0.0126171059465245
"75",75,0.667208333,1286.44293082385,0.0134209546447296
"76",76,1.954625,1284.39044225339,0.0267334426330256
"77",77,2.6665,1282.20147289006,0.0390856178765844
"78",78,2.379416667,1280.07142095885,0.033473314460903
"79",79,1.746333333,1278.06602777602,0.0238152762701172
"80",80,0.743958333,1276.2482032706,0.0138961621915734
"81",81,0.282208333,1274.51346770145,0.0108343923972959
"82",82,0.12525,1272.80737105317,0.00994831052138134
"83",83,0.570625,1271.0256475814,0.0126203730727373
"84",84,1.768916667,1269.02608791121,0.0239683493134792
"85",85,2.737458333,1266.84193974015,0.0402073753539321
"86",86,2.042916667,1264.79491460582,0.0276847480266778
"87",87,0.546416667,1263.02545080937,0.0123945055783894
"88",88,0.70075,1261.23058078872,0.0134493074792175
"89",89,1.571375,1259.27909367885,0.0214270518761917
"90",90,2.543333333,1257.14455628086,0.0360171970708864
"91",91,1.55825,1255.20002405323,0.0212214727050314
